date;name;isin;invested_capital;equity;cash
2017-04-01;pferde-in-form;DE000LS9KJ85; 185363.40 ;0.83;0.17
2017-04-01;tenbagger-sei-aufmerksam;DE000LS9CNZ1; 181932.73 ;0.93;0.07
2017-04-01;mawero-effizienz2;DE000LS9FLR5; 176482.96 ;0.95;0.05
2017-04-01;europa-finest-selection;DE000LS9CPX1; 167384.89 ;0.99;0.01
2017-04-01;trendstaerke-rangliste-deutschl;DE000LS9DVV1; 163745.17 ;0.53;0.47
2017-04-01;qi-minimum-volatility-germany;DE000LS9J0X7; 157467.67 ;1.0;0.0
2017-04-01;germanallcap-fokus-nebenwerte;DE000LS9HGA7; 151275.56 ;0.95;0.05
2017-04-01;small-caps-on-stereoids;DE000LS9AET7; 150551.00 ;0.36;0.64
2017-04-01;deutschl-analysten-empfehlungen;DE000LS9FKS5; 143495.63 ;1.0;-0.0
2017-04-01;small-caps;DE000LS9AQL8; 134426.40 ;0.72;0.28
2017-04-01;stock-picking-nach-peter-lynch;DE000LS9CVN0; 129145.93 ;0.66;0.34
2017-04-01;wachstum-mit-substanz;DE000LS9CPJ0; 128977.98 ;0.86;0.14
2017-04-01;westfalian-alpha;DE000LS9ARA9; 115465.20 ;1.0;0.0
2017-04-01;reversal-chancen;DE000LS9BRH2; 110040.14 ;0.04;0.96
2017-04-01;selectplus;DE000LS9ANN1; 106003.98 ;0.79;0.21
2017-04-01;chancen-vs-risiken-deutschland;DE000LS9AEZ4; 101201.24 ;0.76;0.24
2017-04-01;value-ansatz-mit-deutschen-aktien;DE000LS9APX5; 97539.96 ;0.68;0.32
2017-04-01;trend-select-small-caps;DE000LS9FQD4; 80299.15 ;1.0;0.0
2017-04-01;technotrading-deutsche-midcaps;DE000LS9BNV2; 65670.13 ;0.97;0.03
2017-04-01;relative-staerke-deu;DE000LS9KCL7; 63228.09 ;1.0;0.0
2017-04-01;nebenwerte-europa;DE000LS9HP25; 59052.57 ;1.0;-0.0
2017-04-01;all-in-001;DE000LS9JPN7; 56780.50 ;0.97;0.03
2017-04-01;stockpicker-smallmidcap-und-cash;DE000LS9H754; 56245.66 ;1.0;0.0
2017-04-01;nebenwerte-nach-checkliste;DE000LS9KB18; 53449.06 ;0.88;0.12
2017-04-01;aktien-alpha-bullenbrief;DE000LS9AZV8; 46653.82 ;1.0;0.0
2017-04-01;value-momentum-langfrist-aktien;DE000LS9AFX6; 45524.70 ;1.0;-0.01
2017-04-01;immobilien-palis-one;DE000LS9EHK1; 45477.28 ;1.0;0.0
2017-04-01;growth-opportunity;DE000LS9J3W3; 44273.76 ;0.97;0.03
2017-04-01;momentum-4;DE000LS9JGK2; 42599.22 ;1.0;0.0
2017-04-01;anlage-nach-levermann-weltweit;DE000LS9KB91; 41618.96 ;1.0;0.0
2017-04-01;sunshine-trading;DE000LS9KKL0; 39949.80 ;0.82;0.17
2017-04-01;world-wide-investment;DE000LS9CUG6; 39458.04 ;0.99;0.01
2017-04-01;aktienauswahl-nach-strategie;DE000LS9KBD6; 38837.57 ;0.93;0.07
2017-04-01;trendfolge-deutscher-mittelstand;DE000LS9KH20; 36061.96 ;0.98;0.02
2017-04-01;capital-blue;DE000LS9GSD8; 35447.46 ;0.44;0.56
2017-04-01;prime-all-share-trendfolge;DE000LS9GHU5; 34118.36 ;1.0;0.0
2017-04-01;slide-special-trading-aktien;DE000LS9KRH3; 32757.45 ;1.0;0.0
2017-04-01;fundamental-quantitativ;DE000LS9KEH1; 32485.12 ;1.0;0.0
2017-04-01;gruenes-dach;DE000LS9AME2; 31783.26 ;0.71;0.29
2017-04-01;apollo-20;DE000LS9EEC5; 31390.66 ;0.84;0.16
2017-04-01;skyscraper-investments;DE000LS9GNW9; 30439.38 ;0.96;0.04
2017-04-01;outperformer-small-and-mid-caps;DE000LS9KB59; 29732.03 ;0.99;0.01
2017-04-01;europaeische-immobilien-werte;DE000LS9DAA9; 29272.11 ;1.01;-0.01
2017-04-01;nach-joel-greenblatt-modifiziert;DE000LS9KBC8; 29005.79 ;0.99;0.01
2017-04-01;quantitative-value-d-a-ch;DE000LS9KQX2; 28393.78 ;1.01;-0.01
2017-04-01;deutschland-rsl;DE000LS9CAJ2; 28331.90 ;0.0;1.0
2017-04-01;nebenwerte-nach-checkliste-eu;DE000LS9KBW6; 27941.18 ;0.62;0.38
2017-04-01;die-top-aktien-aus-deutschland;DE000LS9FFN6; 25054.59 ;1.0;-0.0
2017-04-01;dax-werte-minimum-varianz;DE000LS9AHC6; 24031.63 ;0.87;0.13
