date;name;isin;invested_captial;equity;cash
2017-04-01;nolimits;DE000LS9BFD6; 299866.62 ;0.97;0.03
2017-04-01;succestecbrands;DE000LS9CWS7; 276944.41 ;0.95;0.05
2017-04-01;top-10-goldminen;DE000LS9GTM7; 217672.61 ;0.98;0.02
2017-04-01;futecus;DE000LS9AUL0; 209878.54 ;0.98;0.02
2017-04-01;dogs-of-the-dow-low-five;DE000LS9CEP1; 207100.63 ;1.0;-0.0
2017-04-01;rogo-us-value;DE000LS9CFM5; 194312.90 ;1.0;-0.01
2017-04-01;glob-selektion-nach-levermann;DE000LS9BJL1; 149459.92 ;1.0;0.0
2017-04-01;trendfolge-aktien-lehne;DE000LS9FDY8; 128853.43 ;1.0;0.0
2017-04-01;sicherheit-und-ruestung;DE000LS9KBZ9; 91154.26 ;0.95;0.04
2017-04-01;ant1-frag-hps-worldwide;DE000LS9BEH0; 87150.27 ;0.39;0.61
2017-04-01;usa-top-10;DE000LS9BEG2; 86369.68 ;1.01;-0.01
2017-04-01;high-tech-stock-picking;DE000LS9J0L2; 59873.24 ;0.65;0.35
2017-04-01;top-innovation-tech-star;DE000LS9JEL5; 52576.06 ;1.01;-0.01
2017-04-01;wall-street-trends;DE000LS9J8J9; 49685.75 ;1.0;0.0
2017-04-01;markowitz-chancen;DE000LS9GNG2; 46698.26 ;1.0;0.0
2017-04-01;die-top-aktien-aus-amerika;DE000LS9FFL0; 46062.57 ;1.0;-0.0
2017-04-01;online-marketing-rockstars;DE000LS9DJH5; 43220.77 ;0.99;0.01
2017-04-01;global-champions;DE000LS9JLH8; 43130.95 ;1.0;0.0
2017-04-01;valuesurfing;DE000LS9JR96; 42381.09 ;0.92;0.08
2017-04-01;daswir;DE000LS9KUM7; 40775.18 ;1.0;0.0
2017-04-01;value-investing;DE000LS9CNE6; 36440.32 ;0.97;0.03
2017-04-01;top-us-upside-star;DE000LS9JDZ7; 36411.06 ;1.0;-0.01
2017-04-01;langfrist-investor;DE000LS9HKV5; 35685.19 ;0.8;0.2
2017-04-01;aesthetische-medizin;DE000LS9EFK5; 35364.03 ;0.64;0.36
2017-04-01;gold-und-silber-majors;DE000LS9BMB6; 35005.18 ;0.97;0.03
2017-04-01;zukunftstrends;DE000LS9HGY7; 33594.22 ;0.91;0.09
2017-04-01;mpinvest-globale-trends;DE000LS9BDD1; 33270.50 ;0.77;0.23
2017-04-01;next-generation;DE000LS9BAU1; 29251.69 ;0.99;0.01
2017-04-01;werte-durch-aktienrueckkaeufe;DE000LS9BJC0; 28965.13 ;0.78;0.22
2017-04-01;value-positive-future;DE000LS9GJG0; 28358.20 ;0.89;0.11
2017-04-01;roboter-kuenstliche-intelligenz;DE000LS9KF55; 27136.33 ;1.0;-0.01
2017-04-01;zukunft-technologie-automobil;DE000LS9J024; 22081.62 ;1.03;-0.03
2017-04-01;entspannt-investieren;DE000LS9DKX0; 22008.59 ;0.14;0.86
2017-04-01;worldcap-global-opportunities;DE000LS9GDM1; 21142.19 ;0.34;0.66
2017-04-01;small-dogs-usa-5;DE000LS9AJS8; 21031.61 ;1.0;-0.0
2017-04-01;fang-und-co;DE000LS9KNM2; 19084.11 ;0.93;0.07
2017-04-01;new-world;DE000LS9GQK7; 17766.75 ;1.0;0.0
2017-04-01;ruestungskonzerne-weltweit;DE000LS9EZY4; 17422.18 ;1.03;-0.03
2017-04-01;divident-value;DE000LS9ECH8; 17367.33 ;1.03;-0.03
2017-04-01;ueberverkaufte-aktienwerte;DE000LS9J826; 17026.28 ;1.0;0.0
2017-04-01;selected-life-sciences;DE000LS9ADD3; 15495.13 ;0.26;0.74
